"","Depth..corrected.","Ice.age..GT4.","Gas.age","CO2..ppmv."
"1",149.1,5679,2342,284.7
"2",173.1,6828,3634,272.8
"3",177.4,7043,3833,268.1
"4",228.6,9523,6220,262.2
"5",250.3,10579,7327,254.6
"6",266,11334,8113,259.6
"7",302.6,13449,10123,261.6
"8",321.2,14538,11013,263.7
"9",331.6,15208,11326,244.8
"10",342.1,15922,11719,238.3
"11",365.5,17747,13405,236.2
"12",375.6,18580,13989,225.3
"13",443.5,24315,17695,182.2
"14",470.8,26578,19988,189.2
"15",506.4,29630,22977,191.6
"16",544.7,32844,26303,188.5
"17",554.2,33645,27062,191.7
"18",602.3,37421,31447,205.4
"19",625.6,39310,33884,209.1
"20",700.2,45242,39880,209.1
"21",765,50610,44766,189.3
"22",788.2,52446,47024,188.4
"23",800,53436,48229,210.1
"24",812.2,54474,49414,215.7
"25",834.8,56300,51174,190.4
"26",902.2,61783,57068,221.8
"27",912,62689,57799,210.4
"28",986.2,69618,63687,195.4
"29",1011.3,71767,65701,191.4
"30",1023.5,72797,66883,195
"31",1087.2,78042,72849,227.4
"32",1112.5,80057,75360,229.2
"33",1162.1,83615,78995,217.1
"34",1175,84515,80059,221.8
"35",1209.9,86840,82858,231
"36",1237.2,88808,84929,241.1
"37",1251.5,89864,85727,236.4
"38",1261.2,90609,86323,228.1
"39",1274.2,91560,87180,214.2
"40",1289.2,92632,88051,217
"41",1309.2,94039,89363,208
"42",1338.2,96047,91691,224.3
"43",1349,96791,92460,228.4
"44",1387.2,99498,95349,232.1
"45",1451.5,103733,99842,225.9
"46",1463.2,104566,100833,230.9
"47",1476.1,105492,101829,236.9
"48",1505,107599,103372,228.2
"49",1526.3,109404,105213,236.9
"50",1542.1,110674,106203,230.7
"51",1575.2,113363,108308,238.2
"52",1582.8,113952,108994,245.7
"53",1598,115077,110253,251.3
"54",1615,116228,111456,256.8
"55",1627.9,117072,112577,266.3
"56",1637.6,117671,113472,261.4
"57",1644,118074,114082,274.6
"58",1651,118499,114738,273.3
"59",1669.2,119601,116175,262.5
"60",1687.2,120680,117519,267.6
"61",1700.9,121485,118396,273.8
"62",1716,122345,119273,272
"63",1726.8,122965,120002,265.2
"64",1736.8,123535,120652,277.7
"65",1758.2,124721,121961,272.2
"66",1770,125380,122606,276.5
