"","depth.corrected","Ice.age..GT4.","Dust.Conc..ppm."
"1",124,4509,0.025
"2",125,4552,0.018
"3",128,4690,0.015
"4",140,5259,0.033
"5",149,5674,0.028
"6",166,6486,0.013
"7",174,6874,0.02
"8",175,6924,0.018
"9",182,7267,0.038
"10",191,7697,0.023
"11",192,7745,0.065
"12",199,8091,0.038
"13",220,9107,0.04
"14",224,9298,0.05
"15",244,10265,0.018
"16",249,10515,0.03
"17",256,10861,0.033
"18",260,11053,0.045
"19",274,11749,0.05
"20",278,11973,0.025
"21",288,12569,0.075
"22",296,13055,0.075
"23",299,13237,0.04
"24",309,13828,0.033
"25",319,14404,0.085
"26",324,14713,0.163
"27",325,14775,0.18
"28",329,15032,0.17
"29",349,16426,0.638
"30",350,16502,0.773
"31",352,16653,0.32
"32",363,17544,1.098
"33",374,18446,0.22
"34",379,18870,1.21
"35",399,20528,0.973
"36",402,20777,0.71
"37",403,20859,1.735
"38",417,22023,0.733
"39",424,22629,1.213
"40",433,23412,1.745
"41",447,24619,1.573
"42",449,24781,0.668
"43",451,24941,0.45
"44",460,25697,0.968
"45",474,26849,1.48
"46",475,26933,1.353
"47",492,28420,0.51
"48",499,29006,0.415
"49",500,29085,0.365
"50",502,29249,0.783
"51",524,31130,0.708
"52",549,33209,0.495
"53",574,35185,0.09
"54",575,35261,0.113
"55",598,37066,0.49
"56",599,37148,0.603
"57",601,37313,0.293
"58",624,39185,0.203
"59",625,39263,0.22
"60",649,41191,0.188
"61",650,41268,0.21
"62",674,43073,0.238
"63",675,43150,0.185
"64",698,45055,0.19
"65",699,45139,0.468
"66",700,45225,0.375
"67",724,47295,0.28
"68",749,49350,0.128
"69",750,49430,0.208
"70",774,51306,0.073
"71",775,51384,0.15
"72",777,51549,0.295
"73",799,53355,0.19
"74",800,53436,0.165
"75",802,53606,0.155
"76",823,55377,0.278
"77",824,55457,0.205
"78",848,57289,0.21
"79",849,57362,0.145
"80",873,59262,0.833
"81",874,59345,0.468
"82",898,61406,0.475
"83",899,61496,0.378
"84",923,63688,0.98
"85",924,63776,0.708
"86",948,66045,1.1
"87",949,66144,0.748
"88",955,66708,0.425
"89",973,68424,1.285
"90",974,68520,0.86
"91",984,69413,0.328
"92",993,70243,0.305
"93",998,70683,0.16
"94",999,70766,0.063
"95",1005,71264,0.085
"96",1015,72070,0.098
"97",1023,72753,0.155
"98",1024,72840,0.053
"99",1034,73706,0.19
"100",1041,74322,0.205
"101",1048,74903,0.063
"102",1049,74985,0.103
"103",1073,76854,0.073
"104",1074,76933,0.075
"105",1098,78937,0.178
"106",1099,79020,0.233
"107",1123,80869,0.28
"108",1124,80943,0.193
"109",1144,82352,0.078
"110",1148,82647,0.188
"111",1149,82721,0.223
"112",1173,84378,0.068
"113",1174,84448,0.058
"114",1198,86016,0.065
"115",1199,86083,0.078
"116",1223,87766,0.09
"117",1224,87837,0.09
"118",1248,89597,0.19
"119",1249,89672,0.208
"120",1273,91480,0.113
"121",1274,91547,0.12
"122",1298,93254,0.27
"123",1299,93325,0.238
"124",1323,95000,0.07
"125",1324,95070,0.103
"126",1348,96722,0.048
"127",1349,96791,0.043
"128",1350,96861,0.053
"129",1373,98505,0.075
"130",1374,98572,0.068
"131",1375,98640,0.005
"132",1398,100232,0.17
"133",1399,100301,0.14
"134",1423,101868,0.133
"135",1424,101930,0.11
"136",1448,103481,0.248
"137",1449,103553,0.18
"138",1450,103625,0.315
"139",1451,103697,0.258
"140",1473,105271,0.058
"141",1474,105342,0.058
"142",1475,105413,0.058
"143",1498,107048,0.128
"144",1499,107121,0.098
"145",1500,107194,0.085
"146",1523,109121,0.093
"147",1524,109206,0.05
"148",1525,109292,0.065
"149",1548,111159,0.07
"150",1549,111239,0.043
"151",1550,111319,0.01
"152",1573,113195,0.05
"153",1574,113272,0.078
"154",1575,113348,0.043
"155",1582,113891,0.068
"156",1591,114562,0.058
"157",1598,115077,0.035
"158",1599,115150,0.08
"159",1606,115617,0.028
"160",1616,116296,0.048
"161",1623,116762,0.033
"162",1624,116827,0.028
"163",1625,116891,0.073
"164",1632,117326,0.068
